Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live)
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[1140.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4938ms
[1155.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5587ms
[1170.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5001ms
[1185.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5758ms
[1200.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4956ms
[1215.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5282ms
[1230.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5444ms
[1245.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5224ms
[1260.0s] tables=12 occupied=2 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5501ms
[1275.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5128ms
[1290.0s] tables=12 occupied=2 empty=10 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5545ms
[1305.0s] tables=12 occupied=2 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5643ms
[1320.0s] tables=12 occupied=2 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5480ms
