Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live; ffmpeg converts 5 frames every 150 (5s))
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[942.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3457ms
[957.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3487ms
[972.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3480ms
[987.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3479ms
[1002.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3508ms
[1017.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3440ms
[1032.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3491ms
[1047.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3452ms
[1062.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3466ms
[1077.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3424ms
[1092.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3474ms
[1107.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3469ms
[1122.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3472ms
[1137.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3418ms
[1152.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3505ms
[1167.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3455ms
[1182.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3484ms
[1197.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3464ms
[1212.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3488ms
[1227.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3439ms
[1242.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3534ms
[1257.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3506ms
[1272.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3485ms
[1287.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3445ms
[1302.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3591ms
[1317.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3464ms
[1332.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3439ms
[1347.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3458ms
[1362.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3601ms
[1377.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3418ms
[1392.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3484ms
[1407.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3456ms
[1422.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3492ms
[1437.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3422ms
[1452.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3508ms
[1467.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3487ms
[1482.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3485ms
[1497.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3464ms
[1512.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3474ms
[1527.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3448ms
[1542.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3510ms
[1557.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3446ms
[1572.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3507ms
[1587.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3448ms
[1602.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3480ms
[1617.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3464ms
[1632.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3494ms
[1647.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3444ms
[1663.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3467ms
[1678.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3469ms
[1693.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3489ms
[1708.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3456ms
[1723.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3481ms
[1738.0s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3464ms
[1753.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3486ms
[1768.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3436ms
[1783.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3480ms
[1798.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3444ms
[1813.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3481ms
[1828.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3437ms
[1843.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3499ms
[1858.1s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3447ms
[1873.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3488ms
[1888.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3466ms
[1903.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3474ms
[1918.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3443ms
[1933.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3456ms
[1948.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3445ms
[1963.2s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3480ms
[1978.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3442ms
[1993.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3514ms
[2008.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3486ms
[2023.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3460ms
[2038.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3467ms
[2053.3s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3466ms
[2068.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3448ms
[2083.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3471ms
[2098.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3422ms
[2113.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3507ms
[2128.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3446ms
[2143.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3472ms
[2158.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3526ms
[2173.4s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3487ms
[2188.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3439ms
[2203.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3475ms
[2218.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3588ms
[2233.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3456ms
[2248.5s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3408ms
[2263.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3449ms
[2278.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3588ms
[2293.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3439ms
[2308.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3439ms
[2323.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3425ms
[2338.6s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3413ms
[2353.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3433ms
[2368.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3442ms
[2383.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3423ms
[2398.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3421ms
[2413.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3479ms
[2428.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3419ms
[2443.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3465ms
[2458.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3434ms
[2473.7s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3427ms
[2488.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3429ms
[2503.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3447ms
[2518.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3407ms
[2533.9s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/2/0 inference=3468ms
[2548.8s] tables=12 occupied=4 empty=8 ignore=0 poses(seated/standing/unknown)=1/1/0 inference=3418ms
