ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T06:13:51,0.82,2017,1780,0,0.68,0.11,1273,0.42,283,0.02,49,0.06,48,28,2700
2026-09-06T06:14:01,0.69,2007,1790,0,1.00,0.48,1273,0.44,283,0.02,49,0.05,48,28,800
2026-09-06T06:14:11,0.74,1979,1818,0,1.07,0.57,1236,0.42,283,0.02,49,0.05,48,28,800
2026-09-06T06:14:21,0.94,1997,1800,0,0.63,0.12,1263,0.43,283,0.02,49,0.06,48,28,2600
2026-09-06T06:14:31,0.79,2017,1780,0,0.98,0.47,1263,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:14:41,0.75,2011,1786,0,1.07,0.58,1267,0.42,283,0.01,49,0.05,47,28,800
2026-09-06T06:14:51,0.79,2004,1793,0,0.70,0.12,1273,0.42,283,0.02,49,0.05,48,28,2694
2026-09-06T06:15:01,0.74,2035,1762,0,0.99,0.47,1263,0.44,283,0.02,49,0.05,48,28,1200
2026-09-06T06:15:11,0.70,1994,1803,0,1.08,0.58,1267,0.43,283,0.01,49,0.05,46,28,800
2026-09-06T06:15:21,0.75,1993,1804,0,0.64,0.13,1263,0.43,283,0.02,49,0.06,46,28,2700
2026-09-06T06:15:31,0.63,2005,1792,0,0.97,0.46,1263,0.43,283,0.02,49,0.06,46,28,800
2026-09-06T06:15:41,0.98,1963,1834,0,1.07,0.57,1225,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:15:52,0.99,2005,1792,0,0.71,0.14,1263,0.42,283,0.02,49,0.06,48,28,2700
2026-09-06T06:16:02,0.84,2022,1775,0,0.97,0.45,1273,0.43,283,0.02,49,0.06,48,28,800
2026-09-06T06:16:12,1.08,2027,1770,0,1.06,0.56,1278,0.42,283,0.01,49,0.05,46,28,800
2026-09-06T06:16:22,0.99,2043,1754,0,0.66,0.15,1273,0.43,283,0.02,49,0.06,48,28,2700
2026-09-06T06:16:32,0.91,2013,1784,0,0.97,0.45,1273,0.43,283,0.02,49,0.05,48,28,924
2026-09-06T06:16:42,1.07,2009,1788,0,1.08,0.57,1278,0.43,283,0.01,49,0.05,46,28,2150
2026-09-06T06:16:52,0.98,2027,1770,0,0.72,0.15,1273,0.42,283,0.02,49,0.06,47,28,2700
2026-09-06T06:17:02,0.91,2033,1764,0,0.96,0.44,1273,0.43,283,0.02,49,0.05,47,28,830
2026-09-06T06:17:12,1.14,1984,1813,0,1.06,0.57,1238,0.42,283,0.01,49,0.04,48,28,800
2026-09-06T06:17:22,1.20,1999,1798,0,0.68,0.16,1266,0.43,283,0.02,49,0.06,47,28,2700
2026-09-06T06:17:32,1.02,1985,1812,0,0.94,0.43,1263,0.42,283,0.02,49,0.05,47,28,800
2026-09-06T06:17:42,1.08,2007,1790,0,1.07,0.58,1267,0.42,283,0.01,49,0.05,47,28,1189
2026-09-06T06:17:52,1.15,2010,1787,0,0.73,0.16,1266,0.43,283,0.02,49,0.06,46,28,2784
2026-09-06T06:18:02,1.06,2009,1788,0,0.95,0.43,1263,0.44,283,0.02,49,0.05,47,28,800
2026-09-06T06:18:12,1.12,1987,1810,0,1.06,0.57,1235,0.42,283,0.02,49,0.04,47,28,1514
2026-09-06T06:18:22,1.42,2007,1790,0,0.68,0.17,1266,0.44,283,0.02,49,0.06,48,28,2525
2026-09-06T06:18:32,1.29,1984,1813,0,0.96,0.43,1263,0.44,283,0.02,49,0.06,48,28,900
2026-09-06T06:18:42,1.16,2013,1784,0,1.08,0.57,1267,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:18:52,1.22,2034,1763,0,0.74,0.17,1266,0.42,283,0.02,49,0.05,47,28,2700
2026-09-06T06:19:02,1.19,2007,1790,0,0.94,0.43,1263,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:19:12,1.30,1981,1816,0,1.08,0.58,1225,0.43,283,0.01,49,0.05,47,28,1200
2026-09-06T06:19:22,1.18,1996,1801,0,0.69,0.18,1266,0.44,283,0.02,49,0.06,48,28,3111
2026-09-06T06:19:32,1.00,1995,1802,0,0.92,0.41,1263,0.43,283,0.02,49,0.05,48,28,1124
2026-09-06T06:19:42,1.00,1997,1800,0,1.06,0.57,1267,0.42,283,0.01,49,0.05,46,28,800
2026-09-06T06:19:52,1.40,2007,1790,0,0.81,0.19,1266,0.43,283,0.02,49,0.06,46,28,3056
2026-09-06T06:20:02,1.18,1989,1808,0,0.92,0.41,1263,0.42,283,0.02,49,0.06,46,28,800
2026-09-06T06:20:12,1.08,2015,1782,0,1.10,0.58,1267,0.43,283,0.01,49,0.05,46,28,800
2026-09-06T06:20:22,1.07,2000,1797,0,0.70,0.19,1266,0.43,283,0.02,49,0.06,47,28,2804
2026-09-06T06:20:32,1.30,2003,1794,0,0.91,0.40,1263,0.42,283,0.02,49,0.06,47,28,800
2026-09-06T06:20:42,1.32,2017,1780,0,1.06,0.57,1267,0.42,283,0.02,49,0.04,46,28,800
2026-09-06T06:20:52,1.28,1994,1803,0,0.71,0.20,1266,0.42,283,0.02,49,0.06,47,28,2600
2026-09-06T06:21:02,1.08,2004,1793,0,1.02,0.41,1263,0.43,283,0.02,49,0.06,47,28,900
2026-09-06T06:21:12,1.06,1998,1799,0,1.07,0.58,1267,0.42,283,0.01,49,0.05,47,28,800
2026-09-06T06:21:22,1.05,1994,1803,0,0.70,0.20,1266,0.42,283,0.02,49,0.06,48,28,2714
2026-09-06T06:21:32,0.89,1996,1801,0,0.88,0.37,1263,0.43,283,0.02,49,0.05,48,28,800
2026-09-06T06:21:42,0.83,2012,1785,0,1.08,0.57,1267,0.43,283,0.02,49,0.05,47,28,800
2026-09-06T06:21:52,0.93,2027,1770,0,0.72,0.21,1277,0.43,283,0.02,49,0.05,46,28,2672
2026-09-06T06:22:02,0.87,2016,1781,0,1.02,0.39,1273,0.43,283,0.02,49,0.06,48,28,800
2026-09-06T06:22:12,0.88,2042,1755,0,1.06,0.57,1278,0.42,283,0.02,49,0.05,48,28,800
2026-09-06T06:22:22,0.83,2008,1789,0,0.72,0.21,1277,0.43,283,0.02,49,0.06,48,28,2675
2026-09-06T06:22:32,0.78,1998,1799,0,0.88,0.38,1273,0.43,283,0.02,49,0.05,47,28,1400
2026-09-06T06:22:42,0.97,2004,1793,0,1.08,0.57,1278,0.42,283,0.01,49,0.05,47,28,900
