ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T05:25:23,3.32,2259,1538,0,2.85,1.56,1319,1.24,330,0.01,49,0.02,49,28,2700
2026-09-06T05:25:33,3.27,2230,1567,0,3.30,1.87,1297,1.36,330,0.01,49,0.02,46,28,3200
2026-09-06T05:25:43,3.24,2190,1607,0,3.30,1.88,1319,1.36,330,0.01,49,0.03,46,28,2700
2026-09-06T05:25:53,2.89,2226,1571,0,2.74,1.44,1369,1.25,330,0.01,49,0.02,48,28,2600
2026-09-06T05:26:03,3.21,2161,1636,0,3.43,1.88,1319,1.39,330,0.01,49,0.03,46,28,2700
2026-09-06T05:26:13,3.35,2218,1579,0,3.32,1.89,1323,1.37,330,0.01,49,0.02,48,28,2700
2026-09-06T05:26:23,3.55,2241,1556,0,2.60,1.02,1327,1.52,330,0.01,49,0.03,48,28,2700
2026-09-06T05:26:33,3.62,2154,1643,0,2.68,0.95,1340,1.65,330,0.01,49,0.03,47,28,2300
2026-09-06T05:26:43,3.46,2171,1626,0,2.67,1.03,1326,1.56,330,0.01,49,0.03,47,28,2600
2026-09-06T05:26:53,3.39,2229,1568,0,2.19,0.45,1327,1.68,330,0.01,49,0.03,47,28,2600
2026-09-06T05:27:03,3.24,2207,1590,0,2.62,0.92,1340,1.54,330,0.01,49,0.03,48,28,1142
2026-09-06T05:27:13,3.60,2196,1601,0,2.80,1.05,1326,1.67,330,0.01,49,0.04,48,28,1400
2026-09-06T05:27:23,3.52,2164,1633,0,2.20,0.46,1340,1.66,330,0.01,49,0.04,46,28,2700
2026-09-06T05:27:33,3.49,2178,1619,0,2.61,0.92,1340,1.61,330,0.01,49,0.03,47,28,2500
2026-09-06T05:27:43,3.51,2195,1602,0,2.74,1.05,1326,1.61,330,0.01,49,0.03,47,28,2600
2026-09-06T05:27:53,3.19,2161,1636,0,2.22,0.47,1327,1.69,330,0.01,49,0.03,47,28,2600
2026-09-06T05:28:03,3.09,2178,1619,0,2.73,0.95,1340,1.70,330,0.01,49,0.03,47,28,1900
2026-09-06T05:28:13,3.23,2189,1608,0,2.79,1.05,1315,1.59,330,0.01,49,0.03,47,28,800
2026-09-06T05:28:23,3.11,2225,1572,0,2.14,0.46,1351,1.62,330,0.01,49,0.03,47,28,2697
